Name,State,Total_Population,Hispanic_Latino,White_Alone,Black_Alone,Asian_Alone,Pacific_Islander_Alone,Total_Housing_Units,State_FIPS,Place_FIPS,Hispanic_Latino_Pct,White_Alone_Pct,Black_Alone_Pct,Asian_Alone_Pct,Pacific_Islander_Alone_Pct
"Moundville town, Alabama",Alabama,3024,50,1430,1445,6,0,1283,01,51648,1.65,47.29,47.78,0.2,0.0
"Mountain Brook city, Alabama",Alabama,22461,351,21241,91,239,0,8424,01,51696,1.56,94.57,0.41,1.06,0.0
"Mount Olive CDP (Jefferson County), Alabama",Alabama,4427,83,4029,117,19,1,1758,01,52344,1.87,91.01,2.64,0.43,0.02
"Mount Vernon town, Alabama",Alabama,1354,9,286,1004,0,1,634,01,52608,0.66,21.12,74.15,0.0,0.07
"Munford town, Alabama",Alabama,1351,12,1090,191,4,1,595,01,52848,0.89,80.68,14.14,0.3,0.07
"Muscle Shoals city, Alabama",Alabama,16275,602,11788,2802,284,1,7094,01,53016,3.7,72.43,17.22,1.75,0.01
"New Brockton town, Alabama",Alabama,1428,100,973,264,4,0,637,01,53856,7.0,68.14,18.49,0.28,0.0
"New Hope city, Alabama",Alabama,2889,91,2541,38,6,3,1286,01,54168,3.15,87.95,1.32,0.21,0.1
"New Market CDP, Alabama",Alabama,1543,89,1209,89,11,0,670,01,54312,5.77,78.35,5.77,0.71,0.0
"Newton town, Alabama",Alabama,1607,51,1282,182,8,2,734,01,54480,3.17,79.78,11.33,0.5,0.12
"New Union CDP, Alabama",Alabama,1019,69,886,5,2,0,432,01,54582,6.77,86.95,0.49,0.2,0.0
"Northport city, Alabama",Alabama,31125,2053,19876,7754,385,18,13382,01,55200,6.6,63.86,24.91,1.24,0.06
"Odenville city, Alabama",Alabama,4969,147,4025,456,21,0,1968,01,56400,2.96,81.0,9.18,0.42,0.0
"Ohatchee town, Alabama",Alabama,1157,16,1058,36,0,0,578,01,56472,1.38,91.44,3.11,0.0,0.0
"Oneonta city, Alabama",Alabama,6938,1175,5012,405,54,1,2858,01,57000,16.94,72.24,5.84,0.78,0.01
"Opelika city, Alabama",Alabama,30995,2407,14836,11947,692,14,13469,01,57048,7.77,47.87,38.54,2.23,0.05
"Opp city, Alabama",Alabama,6771,137,5091,1211,29,0,3133,01,57120,2.02,75.19,17.89,0.43,0.0
"Orange Beach city, Alabama",Alabama,8095,213,7373,85,57,1,14545,01,57144,2.63,91.08,1.05,0.7,0.01
"Owens Cross Roads town, Alabama",Alabama,2594,121,1992,201,29,4,1032,01,57504,4.66,76.79,7.75,1.12,0.15
"Oxford city, Alabama",Alabama,22069,1750,15309,3645,377,9,9313,01,57576,7.93,69.37,16.52,1.71,0.04
"Ozark city, Alabama",Alabama,14368,566,8147,4760,151,8,6814,01,57648,3.94,56.7,33.13,1.05,0.06
"Pelham city, Alabama",Alabama,24318,3649,15982,3103,594,17,9777,01,58848,15.01,65.72,12.76,2.44,0.07
"Pell City city, Alabama",Alabama,12939,306,9954,2017,140,1,5685,01,58896,2.36,76.93,15.59,1.08,0.01
"Phenix City city, Alabama",Alabama,38816,2311,15525,18795,366,61,17498,01,59472,5.95,40.0,48.42,0.94,0.16
"Piedmont city, Alabama",Alabama,4787,128,3970,445,17,5,2275,01,59640,2.67,82.93,9.3,0.36,0.1
"Pike Road town, Alabama",Alabama,9439,232,5385,2970,548,3,3415,01,59760,2.46,57.05,31.47,5.81,0.03
"Akutan city, Alaska",Alaska,1589,563,146,266,499,11,52,02,01090,35.43,9.19,16.74,31.4,0.69
"Anchorage municipality, Alaska",Alaska,291247,26438,158232,13777,27281,9844,118640,02,03000,9.08,54.33,4.73,9.37,3.38
"Anchor Point CDP, Alaska",Alaska,2105,50,1779,6,24,3,1357,02,03110,2.38,84.51,0.29,1.14,0.14
"Badger CDP, Alaska",Alaska,19031,1119,13810,385,385,54,7931,02,05000,5.88,72.57,2.02,2.02,0.28
"Bear Creek CDP, Alaska",Alaska,2129,76,1634,10,44,5,1067,02,05585,3.57,76.75,0.47,2.07,0.23
"Bethel city, Alaska",Alaska,6325,144,1177,73,187,2,2184,02,06520,2.28,18.61,1.15,2.96,0.03
"Big Lake CDP, Alaska",Alaska,3833,115,3022,21,37,56,2958,02,07070,3.0,78.84,0.55,0.97,1.46
"Buffalo Soapstone CDP, Alaska",Alaska,1021,25,825,1,7,1,516,02,09657,2.45,80.8,0.1,0.69,0.1
"Butte CDP, Alaska",Alaska,3589,89,2937,17,41,2,1476,02,09710,2.48,81.83,0.47,1.14,0.06
"Chena Ridge CDP, Alaska",Alaska,6015,229,4609,76,114,2,2747,02,12920,3.81,76.63,1.26,1.9,0.03
"Cohoe CDP, Alaska",Alaska,1471,33,1212,4,14,4,922,02,16420,2.24,82.39,0.27,0.95,0.27
"College CDP, Alaska",Alaska,11332,681,7380,325,442,43,5041,02,16750,6.01,65.13,2.87,3.9,0.38
"Cordova city, Alaska",Alaska,2609,113,1618,7,371,7,1143,02,17410,4.33,62.02,0.27,14.22,0.27
"Craig city, Alaska",Alaska,1036,44,620,2,13,0,512,02,17740,4.25,59.85,0.19,1.25,0.0
"Deltana CDP, Alaska",Alaska,2359,116,2004,25,32,1,1059,02,18675,4.92,84.95,1.06,1.36,0.04
"Diamond Ridge CDP, Alaska",Alaska,1330,31,1129,4,8,0,701,02,18925,2.33,84.89,0.3,0.6,0.0
"Dillingham city, Alaska",Alaska,2249,92,568,17,38,9,994,02,18950,4.09,25.26,0.76,1.69,0.4
"Eielson AFB CDP, Alaska",Alaska,2610,430,1630,196,96,13,829,02,21370,16.48,62.45,7.51,3.68,0.5
"Ester CDP, Alaska",Alaska,2416,81,1894,24,29,7,1300,02,23460,3.35,78.39,0.99,1.2,0.29
"Fairbanks city, Alaska",Alaska,32515,3720,17275,2508,1532,391,13677,02,24230,11.44,53.13,7.71,4.71,1.2
"Farmers Loop CDP, Alaska",Alaska,4704,195,3597,35,84,6,2116,02,24980,4.15,76.47,0.74,1.79,0.13
"Farm Loop CDP, Alaska",Alaska,2747,143,2185,22,35,13,1023,02,25000,5.21,79.54,0.8,1.27,0.47
"Fishhook CDP, Alaska",Alaska,5048,226,4024,37,62,13,1943,02,25550,4.48,79.71,0.73,1.23,0.26
"Fritz Creek CDP, Alaska",Alaska,2248,54,1943,1,21,4,1249,02,27090,2.4,86.43,0.04,0.93,0.18
"Funny River CDP, Alaska",Alaska,1103,37,912,5,15,2,1158,02,27145,3.35,82.68,0.45,1.36,0.18
"Gateway CDP, Alaska",Alaska,5748,328,4304,95,108,20,2018,02,28200,5.71,74.88,1.65,1.88,0.35
"Goldstream CDP, Alaska",Alaska,3299,117,2649,33,39,4,1854,02,29130,3.55,80.3,1.0,1.18,0.12
"Haines CDP, Alaska",Alaska,1657,48,1239,2,13,2,921,02,31050,2.9,74.77,0.12,0.78,0.12
"Homer city, Alaska",Alaska,5522,221,4503,31,63,14,2851,02,33140,4.0,81.55,0.56,1.14,0.25
"Hooper Bay city, Alaska",Alaska,1375,1,23,2,10,0,314,02,33470,0.07,1.67,0.15,0.73,0.0
"Houston city, Alaska",Alaska,1975,41,1603,5,20,6,1030,02,33800,2.08,81.16,0.25,1.01,0.3
"Juneau city and borough, Alaska",Alaska,32255,2077,19673,328,2086,469,14093,02,36400,6.44,60.99,1.02,6.47,1.45
"Kalifornsky CDP, Alaska",Alaska,8487,353,6644,29,113,14,4041,02,37250,4.16,78.28,0.34,1.33,0.16
"Kenai city, Alaska",Alaska,7424,420,5151,41,133,34,3338,02,38420,5.66,69.38,0.55,1.79,0.46
"Ketchikan city, Alaska",Alaska,8192,411,4160,81,1016,19,3830,02,38970,5.02,50.78,0.99,12.4,0.23
"Knik-Fairview CDP, Alaska",Alaska,19297,1037,14248,166,296,89,7315,02,40645,5.37,73.84,0.86,1.53,0.46
"Kodiak city, Alaska",Alaska,5581,491,1796,30,2294,56,2272,02,40950,8.8,32.18,0.54,41.1,1.0
